gene_id	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3
gene_2330	240	351	270	96	99	139
gene_2331	170	208	180	63	74	111
gene_2332	297	422	302	356	416	463
gene_2333	180	214	180	115	133	162
gene_2334	605	699	508	297	356	454
gene_2335	914	1293	964	437	544	692
gene_2336	479	500	389	251	296	383
gene_2337	3969	5448	3880	1139	1392	1850
gene_2338	3608	4920	3699	4953	6430	7766
gene_2339	70	31	25	604	1122	1488
gene_2340	87	50	38	906	1934	2250
gene_2341	580	825	577	334	419	472
gene_2343	1078	1566	1238	491	663	739
gene_2344	159	247	170	148	150	188
gene_2345	274	412	317	356	398	527
gene_2346	293	446	345	192	226	331
gene_2347	4214	6160	4667	2051	2550	3318
gene_2348	238	319	218	160	189	325
gene_2349	73	76	49	46	52	70
gene_2350	438	514	373	322	381	503
gene_2351	450	638	454	237	323	387
gene_2352	328	375	273	191	277	342
gene_2353	451	607	422	445	577	705
gene_2354	279	313	230	283	291	420
gene_2355	143	169	139	182	223	265
gene_2356	1970	2926	2126	661	878	1314
gene_2357	177	227	143	133	137	207
gene_2358	411	520	365	188	232	301
gene_2359	1909	2641	1820	636	782	975
gene_2362	409	542	336	302	358	402
gene_2363	75	92	59	32	46	55
gene_2365	229	276	207	249	268	354
gene_2366	0	0	0	0	0	0
gene_2367	99	117	95	291	358	442
gene_2368	270	332	241	318	432	507
gene_2369	224	237	201	254	331	409
gene_2370	305	393	255	255	212	332
gene_2371	1483	2286	1623	966	1210	1308
gene_2372	449	586	459	290	350	371
gene_2373	7289	9952	7105	1918	2283	3312
gene_2374	685	961	694	544	576	811
gene_2375	128	165	127	104	116	125
gene_2377	654	977	713	860	1161	1428
gene_2378	5	6	3	0	7	3
gene_2379	179	223	150	178	229	294
gene_2381	479	661	536	195	215	295
gene_2383	3435	4746	3731	1255	1366	1928
gene_2384	909	1308	886	434	513	646
gene_2385	40	59	32	43	60	43
gene_2386	108	118	81	327	589	672
gene_2387	818	1138	877	290	383	458
gene_2388	85	97	88	67	79	76
gene_2389	801	1072	763	1888	2456	3049
gene_2390	22	24	21	28	40	41
gene_2391	1439	1898	1261	1112	1512	2110
gene_2392	108	132	92	146	161	202
gene_2393	303	392	299	227	257	345
gene_2394	1151	1537	1082	848	997	1347
gene_2395	416	500	365	267	345	394
gene_2396	651	677	461	94	109	117
gene_2397	319	445	337	245	280	353
gene_2398	328	408	268	374	396	536
gene_2399	525	514	350	1424	2520	3140
gene_2401	359	348	252	622	841	1037
gene_2403	55	26	23	141	285	368
gene_2404	715	967	752	314	423	611
gene_2405	120	132	105	328	534	558
gene_2406	15	20	11	11	12	15
gene_2407	599	690	499	407	401	532
gene_2408	5333	7262	5214	1466	1597	2426
gene_2409	287	347	219	279	340	326
gene_2410	627	820	584	307	444	556
gene_2412	334	448	335	187	209	332
gene_2413	79	98	50	46	66	73
gene_2414	69	67	45	147	247	270
gene_2415	2994	4028	2964	1500	1748	2328
